Area,Profile,x,y,dist,height
Cruces,C2,785699,3094280,0,2.43
Cruces,C2,785693,3094282,6,1.83
Cruces,C2,785684,3094285,16,1.73
Cruces,C2,785677,3094289,24,1.83
Cruces,C2,785674,3094289,26,2.43
Cruces,C2,785667,3094292,34,2.33
Cruces,C2,785658,3094297,44,2.33
Cruces,C2,785648,3094302,55,2.23
Cruces,C2,785639,3094308,65,2.23
Cruces,C2,785634,3094311,72,2.13
Cruces,C2,785627,3094315,79,1.73
Cruces,C2,785615,3094321,93,1.53
Cruces,C2,785608,3094325,101,1.53
Cruces,C2,785600,3094329,110,1.43
Cruces,C2,785596,3094331,115,1.63
Cruces,C2,785589,3094336,123,1.43
Cruces,C2,785584,3094338,129,0.03
Cruces,C2,785581,3094340,132,1.33
Cruces,C2,785578,3094341,136,1.23
Cruces,C2,785577,3094342,137,1.03
Cruces,C2,785575,3094343,139,1.33
Cruces,C2,785571,3094346,144,1.23
Cruces,C2,785563,3094351,153,1.23
Cruces,C2,785556,3094355,161,1.33
Cruces,C2,785545,3094360,173,1.43
Cruces,C2,785529,3094370,192,1.53
Cruces,C2,785513,3094380,211,1.63
Cruces,C2,785499,3094388,227,1.63
Cruces,C2,785487,3094394,240,1.63
Cruces,C2,785484,3094396,244,1.63
Cruces,C2,785481,3094398,247,1.93
Cruces,C2,785477,3094400,252,1.73
Cruces,C2,785466,3094407,265,1.63
Cruces,C2,785454,3094414,279,1.53
Cruces,C2,785442,3094420,292,1.43
Cruces,C2,785430,3094428,307,1.33
Cruces,C2,785419,3094434,319,1.13
Cruces,C2,785416,3094435,322,1.13
Cruces,C2,785413,3094437,326,1.23
Cruces,C2,785407,3094441,333,1.13
Cruces,C2,785401,3094444,340,0.93
Cruces,C2,785397,3094446,345,1.03
Cruces,C2,785391,3094450,351,0.93
Cruces,C2,785380,3094455,363,0.83
Cruces,C2,785371,3094461,374,0.73
Cruces,C2,785360,3094467,387,0.93
Cruces,C2,785351,3094473,397,0.93
Cruces,C2,785340,3094479,410,0.83
Cruces,C2,785327,3094486,424,0.63
Cruces,C2,785315,3094493,438,0.53
Cruces,C2,785304,3094499,451,0.53
Cruces,C2,785294,3094504,462,0.53
Cruces,C2,785282,3094512,476,0.53
Cruces,C2,785269,3094521,492,0.43
Cruces,C2,785258,3094526,505,0.43
Cruces,C2,785243,3094535,522,0.43
Cruces,C2,785230,3094542,537,0.43
Cruces,C2,785220,3094548,549,0.33
Cruces,C2,785203,3094557,568,0.33
Cruces,C2,785192,3094562,580,0.23
Cruces,C2,785182,3094569,592,0.23
Cruces,C2,785173,3094575,603,0.23
Cruces,C2,785164,3094581,613,0.23
Cruces,C2,785154,3094587,625,0.13
Cruces,C2,785132,3094599,650,0.13
Cruces,C2,785125,3094604,659,0.03
Cruces,C2,785118,3094607,666,0.03
