Time,Tide,Position,Activity
1:00:00,55.787,1,Roosting
1:30:00,48.479,2,Roosting
3:00:00,40.629,3,Foraging
3:30:00,46.304,4,Roosting
5:00:00,92.047,5,Roosting
5:30:00,112.836,6,Roosting
7:00:00,169.556,7,
7:30:00,183.271,8,
8:00:00,193.306,9,
8:30:00,198.934,10,
9:00:00,199.355,11,
9:30:00,193.968,12,
10:00:00,182.735,13,
10:30:00,166.427,14,
11:00:00,146.562,15,
11:30:00,125.015,16,
12:00:00,103.436,17,
12:30:00,82.761,18,
13:00:00,63.08,19,Flying
13:30:00,43.943,20,Foraging
14:00:00,24.962,21,Foraging
14:30:00,6.406,22,Foraging
15:00:00,-10.556,23,Foraging
15:30:00,-24.086,24,Foraging
16:00:00,-32.293,25,Foraging
16:30:00,-33.923,26,Foraging
